BRAMS execution model
1 cores
Standard_DS5_v2_Promo,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E16_4s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E16_8s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E16s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E16_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_F16,1419.9,1438.0,1323.7,1364.8,0.00,0.00,0.00
Standard_F16s,1387.5,1351.7,1394.6,2182.9,0.00,0.00,0.00
Standard_F16s_v2,2136.7,2029.0,1979.3,2053.5,0.00,0.00,0.00
Standard_H16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_H16m,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_H16mr,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_H16r,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32 cores
Standard_D32s_v3,1797.5,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D32_v3,1778.6,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E32_16s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E32_8s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E32s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E32_v3,1719.6,0.00,0.00,0.00,0.00,0.00,0.00
Standard_F32s_v2,2053.3,0.00,0.00,0.00,0.00,0.00,0.00
64 cores
Standard_D64s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_D64_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64_16s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64_32s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64is_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64i_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64s_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_E64_v3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Standard_F64s_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72 cores
Standard_F72s_v2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
